state,county,region,RUCC,less_than_high_school,high_school_diploma,college/associate_degree,bachelors/higher,poverty,unemployment
IN,Jasper County,Midwest,1,13.001,41.301,29.156,16.542,9.0,5.3
IN,Jay County,Midwest,6,15.872,47.746,25.492,10.89,14.0,4.6
IN,Jefferson County,Midwest,6,13.107,39.608,30.242,17.044,13.0,4.7
IN,Jennings County,Midwest,6,15.48,47.22,27.663,9.637,13.0,4.8
IN,Johnson County,Midwest,1,8.499,32.733,29.266,29.501,8.0,3.6
IN,Knox County,Midwest,5,11.461,36.601,36.702,15.236,17.0,4.4
IN,Kosciusko County,Midwest,4,15.231,36.984,26.56,21.225,10.0,3.7
IN,LaGrange County,Midwest,6,35.716,31.994,21.094,11.196,10.0,3.4
IN,Lake County,Midwest,1,12.412,35.27,31.431,20.888,17.0,6.3
IN,LaPorte County,Midwest,3,12.466,38.903,31.043,17.587,16.0,5.9
IN,Lawrence County,Midwest,6,11.605,42.495,31.556,14.343,14.0,5.7
IN,Madison County,Midwest,1,12.53,39.21,30.868,17.393,18.0,5.0
IN,Marion County,Midwest,1,14.344,28.123,28.512,29.021,19.0,4.4
IN,Marshall County,Midwest,6,15.527,40.581,25.361,18.531,12.0,3.8
IN,Martin County,Midwest,7,15.612,42.811,30.201,11.376,12.0,4.2
IN,Miami County,Midwest,6,14.905,42.642,30.517,11.935,16.0,4.7
IN,Monroe County,Midwest,3,7.773,22.65,24.433,45.144,24.0,4.6
IN,Montgomery County,Midwest,6,11.473,43.51,28.266,16.75,11.0,3.9
IN,Morgan County,Midwest,1,11.586,42.108,30.776,15.53,11.0,4.2
IN,Newton County,Midwest,1,14.174,46.487,28.795,10.544,12.0,5.6
IN,Noble County,Midwest,6,15.303,41.074,29.478,14.146,11.0,4.1
IN,Ohio County,Midwest,1,11.405,46.784,27.965,13.846,10.0,4.9
IN,Orange County,Midwest,6,16.662,45.05,26.382,11.907,16.0,5.1
IN,Owen County,Midwest,3,15.727,43.188,29.076,12.009,14.0,5.5
IN,Parke County,Midwest,6,14.529,42.349,31.337,11.785,16.0,5.3
IN,Perry County,Midwest,6,13.036,51.122,22.416,13.426,15.0,4.6
IN,Pike County,Midwest,8,13.7,45.902,27.787,12.611,11.0,4.4
IN,Porter County,Midwest,1,8.268,34.936,30.67,26.126,8.0,5.1
IN,Posey County,Midwest,2,5.683,38.823,34.932,20.562,9.0,4.0
IN,Pulaski County,Midwest,6,12.931,46.048,30.352,10.67,12.0,4.6
IN,Putnam County,Midwest,1,11.596,41.568,31.802,15.034,13.0,4.5
IN,Randolph County,Midwest,6,13.604,43.651,29.675,13.07,15.0,4.5
IN,Ripley County,Midwest,6,13.202,43.211,26.146,17.441,12.0,4.6
IN,Rush County,Midwest,6,15.399,47.893,22.68,14.028,14.0,3.8
IN,St. Joseph County,Midwest,2,12.286,30.909,28.559,28.245,16.0,4.5
IN,Scott County,Midwest,1,15.391,42.642,28.979,12.988,16.0,4.8
IN,Shelby County,Midwest,1,12.257,42.996,28.113,16.634,12.0,4.0
IN,Spencer County,Midwest,8,10.578,43.992,30.104,15.325,9.0,4.1
IN,Starke County,Midwest,6,17.131,41.444,29.814,11.61,16.0,5.4
IN,Steuben County,Midwest,7,11.522,38.001,30.531,19.945,11.0,3.7
IN,Sullivan County,Midwest,3,13.624,42.695,31.02,12.66,14.0,5.9
IN,Switzerland County,Midwest,8,17.284,48.303,26.139,8.274,17.0,4.9
IN,Tippecanoe County,Midwest,3,9.261,26.589,28.873,35.277,18.0,4.0
IN,Tipton County,Midwest,6,11.743,39.365,27.833,21.06,9.0,3.9
IN,Union County,Midwest,1,11.842,44.652,24.95,18.556,13.0,4.0
IN,Vanderburgh County,Midwest,2,10.22,33.783,31.095,24.902,17.0,4.1
IN,Vermillion County,Midwest,3,11.015,45.258,30.743,12.983,13.0,6.6
IN,Vigo County,Midwest,3,12.314,32.993,31.517,23.176,18.0,5.4
IN,Wabash County,Midwest,6,12.057,42.005,27.641,18.297,12.0,4.3
IN,Warren County,Midwest,8,9.031,43.193,28.209,19.567,9.0,4.9
IN,Warrick County,Midwest,2,7.179,32.908,31.914,28.0,8.0,4.1
IN,Washington County,Midwest,1,14.489,45.64,27.164,12.707,14.0,4.5
IN,Wayne County,Midwest,5,15.269,39.185,28.411,17.135,17.0,4.8
IN,Wells County,Midwest,2,8.812,40.379,33.413,17.395,10.0,3.6
IN,White County,Midwest,6,10.395,43.209,30.712,15.685,11.0,4.0
IN,Whitley County,Midwest,2,9.855,41.374,30.481,18.289,9.0,3.9
IA,Adair County,Midwest,8,6.616,43.204,33.611,16.569,11.0,3.0
IA,Adams County,Midwest,9,7.533,40.102,35.662,16.703,12.0,2.7
IA,Allamakee County,Midwest,6,11.873,40.359,30.739,17.029,13.0,5.0
IA,Appanoose County,Midwest,7,10.123,35.665,36.089,18.123,19.0,4.8
IA,Audubon County,Midwest,8,10.433,42.372,34.054,13.142,11.0,3.3
IA,Benton County,Midwest,2,7.222,35.745,35.28,21.753,8.0,3.6
IA,Black Hawk County,Midwest,3,9.178,32.7,31.141,26.982,16.0,4.7
IA,Boone County,Midwest,6,5.566,34.402,37.59,22.443,9.0,2.8
IA,Bremer County,Midwest,3,4.693,34.5,32.954,27.853,7.0,3.7
IA,Buchanan County,Midwest,6,7.684,40.585,33.732,17.999,10.0,4.2
IA,Buena Vista County,Midwest,7,21.766,30.539,28.997,18.698,12.0,3.6
IA,Butler County,Midwest,8,8.111,40.337,35.882,15.67,10.0,4.4
IA,Calhoun County,Midwest,9,7.756,36.368,37.502,18.375,12.0,3.9
IA,Carroll County,Midwest,7,7.064,39.451,32.059,21.427,9.0,2.6
IA,Cass County,Midwest,6,9.694,42.798,27.677,19.831,13.0,3.3
IA,Cedar County,Midwest,6,6.643,36.187,35.123,22.047,7.0,3.4
IA,Cerro Gordo County,Midwest,5,6.714,31.418,40.008,21.859,12.0,3.7
IA,Cherokee County,Midwest,6,9.403,34.772,36.662,19.163,11.0,3.7
IA,Chickasaw County,Midwest,6,9.718,44.136,31.666,14.481,11.0,4.5
IA,Clarke County,Midwest,6,9.308,44.267,31.031,15.395,12.0,3.4
IA,Clay County,Midwest,7,6.772,34.567,37.796,20.865,9.0,3.9
IA,Clayton County,Midwest,8,9.036,44.696,30.959,15.309,10.0,4.3
IA,Clinton County,Midwest,4,8.419,36.481,35.732,19.369,14.0,5.0
IA,Crawford County,Midwest,7,21.484,37.68,29.183,11.653,14.0,5.6
IA,Dallas County,Midwest,2,4.464,19.442,28.675,47.419,5.0,2.7
IA,Davis County,Midwest,9,13.322,38.178,31.941,16.558,13.0,4.3
IA,Decatur County,Midwest,9,13.057,37.184,29.65,20.108,20.0,3.3
IA,Delaware County,Midwest,6,9.308,43.491,32.144,15.057,10.0,3.5
IA,Des Moines County,Midwest,5,7.789,35.044,37.6,19.567,16.0,5.0
IA,Dickinson County,Midwest,7,4.364,29.293,37.318,29.024,8.0,4.4
IA,Dubuque County,Midwest,3,7.651,34.696,28.451,29.202,11.0,3.6
IA,Emmet County,Midwest,7,10.431,34.063,38.027,17.479,11.0,4.3
IA,Fayette County,Midwest,6,10.227,38.502,31.693,19.578,13.0,4.5
IA,Floyd County,Midwest,7,10.993,35.293,34.06,19.654,13.0,3.7
IA,Franklin County,Midwest,7,11.375,38.266,33.614,16.745,12.0,3.5
IA,Fremont County,Midwest,8,7.908,35.616,35.035,21.441,12.0,3.3
IA,Greene County,Midwest,6,7.242,37.393,37.393,17.971,11.0,3.2
IA,Grundy County,Midwest,3,4.649,34.272,35.942,25.136,6.0,3.5
IA,Guthrie County,Midwest,2,7.935,39.147,32.374,20.544,10.0,3.6
IA,Hamilton County,Midwest,6,7.767,31.502,38.715,22.016,9.0,3.8
IA,Hancock County,Midwest,7,7.271,36.675,36.121,19.933,9.0,2.7
IA,Hardin County,Midwest,6,8.31,33.827,37.473,20.39,11.0,4.0
IA,Harrison County,Midwest,2,9.024,38.179,35.357,17.439,11.0,3.4
IA,Henry County,Midwest,6,8.034,37.406,35.718,18.842,12.0,3.6
IA,Howard County,Midwest,6,11.083,43.476,32.221,13.219,10.0,3.7
IA,Humboldt County,Midwest,7,6.869,36.867,36.404,19.86,10.0,2.9
IA,Ida County,Midwest,8,6.669,40.259,34.036,19.035,10.0,2.6
IA,Iowa County,Midwest,6,7.922,40.812,32.633,18.633,7.0,3.1
IA,Jackson County,Midwest,6,8.833,43.214,31.485,16.468,13.0,4.2
IA,Jasper County,Midwest,6,7.558,40.774,33.759,17.909,10.0,3.6
IA,Jefferson County,Midwest,7,5.067,29.068,32.752,33.113,14.0,3.7
IA,Johnson County,Midwest,3,5.258,16.482,25.828,52.432,17.0,2.6
IA,Jones County,Midwest,2,7.935,39.526,35.805,16.734,11.0,4.3
IA,Keokuk County,Midwest,8,8.669,42.925,31.39,17.016,12.0,4.4
IA,Kossuth County,Midwest,7,5.694,37.866,36.915,19.525,11.0,2.7
IA,Lee County,Midwest,5,8.187,41.208,36.025,14.58,14.0,6.2
IA,Linn County,Midwest,2,5.369,27.232,35.169,32.23,10.0,3.7
IA,Louisa County,Midwest,8,17.3,37.263,32.119,13.318,11.0,4.0
IA,Lucas County,Midwest,6,8.19,45.052,30.248,16.511,15.0,3.2
IA,Lyon County,Midwest,8,9.371,37.273,32.087,21.269,7.0,2.1
IA,Madison County,Midwest,2,5.64,37.367,34.537,22.456,8.0,3.6
IA,Mahaska County,Midwest,7,8.893,37.228,29.975,23.904,12.0,3.8
IA,Marion County,Midwest,6,7.096,35.836,31.631,25.437,9.0,3.1
IA,Marshall County,Midwest,4,15.285,32.665,32.521,19.529,12.0,4.9
IA,Mills County,Midwest,2,6.733,35.306,34.048,23.914,9.0,3.7
IA,Mitchell County,Midwest,7,8.762,43.917,31.67,15.651,10.0,2.7
IA,Monona County,Midwest,6,9.51,39.76,34.114,16.616,13.0,4.2
IA,Monroe County,Midwest,7,11.861,45.822,26.951,15.366,13.0,4.7
IA,Montgomery County,Midwest,6,10.912,36.15,37.415,15.524,13.0,3.6
IA,Muscatine County,Midwest,4,13.144,33.93,32.439,20.486,11.0,3.9
IA,O'Brien County,Midwest,7,7.903,36.374,35.729,19.994,10.0,2.8
IA,Osceola County,Midwest,7,12.393,39.611,31.388,16.609,11.0,2.7
IA,Page County,Midwest,6,11.563,33.913,32.642,21.882,15.0,5.1
IA,Palo Alto County,Midwest,7,6.409,30.2,41.317,22.074,10.0,3.2
IA,Plymouth County,Midwest,3,7.948,34.563,37.962,19.527,8.0,2.6
IA,Pocahontas County,Midwest,9,6.85,39.235,37.012,16.904,12.0,2.9
IA,Polk County,Midwest,2,8.281,24.998,31.153,35.569,11.0,3.5
IA,Pottawattamie County,Midwest,2,9.991,34.735,34.616,20.658,10.0,3.4
IA,Poweshiek County,Midwest,7,6.573,39.255,31.303,22.869,11.0,3.5
IA,Ringgold County,Midwest,9,9.22,37.305,34.128,19.348,14.0,3.5
IA,Sac County,Midwest,9,8.322,38.572,33.764,19.342,12.0,3.1
IA,Scott County,Midwest,2,7.016,29.38,31.689,31.916,13.0,4.6
IA,Shelby County,Midwest,6,8.713,37.826,32.373,21.088,9.0,3.0
IA,Sioux County,Midwest,7,10.051,30.927,32.146,26.877,7.0,2.3
IA,Story County,Midwest,3,3.65,18.456,27.642,50.252,19.0,2.4
IA,Tama County,Midwest,6,9.412,40.664,33.611,16.313,12.0,4.2
IA,Taylor County,Midwest,9,9.058,41.779,35.542,13.621,12.0,3.0
IA,Union County,Midwest,6,8.082,38.885,36.636,16.397,13.0,3.8
IA,Van Buren County,Midwest,9,11.683,42.205,33.385,12.727,15.0,3.7
IA,Wapello County,Midwest,5,13.707,36.624,32.048,17.62,17.0,5.9
IA,Warren County,Midwest,2,4.43,32.094,34.628,28.848,7.0,3.2
IA,Washington County,Midwest,3,9.173,37.468,32.461,20.897,10.0,3.0
IA,Wayne County,Midwest,9,10.771,45.71,30.466,13.053,18.0,3.9
IA,Webster County,Midwest,5,9.357,32.508,37.525,20.61,14.0,4.0
IA,Winnebago County,Midwest,7,8.966,32.854,36.625,21.555,11.0,3.5
IA,Winneshiek County,Midwest,7,5.556,33.66,33.203,27.581,9.0,3.6
IA,Woodbury County,Midwest,3,14.293,34.005,30.021,21.681,13.0,3.6
IA,Worth County,Midwest,9,7.675,35.309,41.742,15.275,9.0,3.5
IA,Wright County,Midwest,7,10.036,35.66,37.31,16.994,13.0,4.2
KS,Allen County,Midwest,7,9.576,32.578,39.524,18.322,16.0,5.9
KS,Anderson County,Midwest,6,9.147,37.036,34.646,19.171,13.0,4.5
KS,Atchison County,Midwest,6,7.398,41.468,31.227,19.907,16.0,6.4
KS,Barber County,Midwest,9,7.608,36.508,37.187,18.697,12.0,4.1
KS,Barton County,Midwest,7,13.226,32.222,37.85,16.702,14.0,4.7
KS,Bourbon County,Midwest,6,9.538,29.596,39.134,21.732,17.0,5.1
KS,Brown County,Midwest,6,7.101,39.371,33.453,20.075,13.0,3.9
KS,Butler County,Midwest,2,7.236,26.564,37.595,28.605,9.0,4.3
KS,Chase County,Midwest,9,9.591,29.56,36.583,24.266,11.0,3.7
KS,Chautauqua County,Midwest,8,11.991,38.385,31.342,18.283,18.0,5.5
KS,Cherokee County,Midwest,6,12.793,34.219,34.514,18.473,16.0,4.6
KS,Cheyenne County,Midwest,9,5.453,31.763,38.221,24.563,11.0,2.9
KS,Clark County,Midwest,9,9.63,26.263,35.354,28.754,12.0,2.9
KS,Clay County,Midwest,6,6.164,31.043,37.776,25.017,10.0,4.5
KS,Cloud County,Midwest,7,7.983,32.384,39.385,20.248,13.0,4.5
KS,Coffey County,Midwest,6,7.265,37.286,34.309,21.14,10.0,6.3
KS,Comanche County,Midwest,9,6.572,34.13,39.208,20.09,12.0,3.4
KS,Cowley County,Midwest,4,10.926,30.357,39.349,19.367,14.0,4.6
KS,Crawford County,Midwest,4,9.914,28.758,32.975,28.354,22.0,5.0
KS,Decatur County,Midwest,9,8.076,35.718,30.042,26.165,15.0,4.2
KS,Dickinson County,Midwest,7,10.84,35.985,33.698,19.477,11.0,4.6
KS,Doniphan County,Midwest,3,9.302,39.205,34.612,16.88,14.0,4.1
KS,Douglas County,Midwest,3,4.953,19.361,25.986,49.7,16.0,3.6
KS,Edwards County,Midwest,9,16.835,29.065,35.875,18.225,11.0,3.1
KS,Elk County,Midwest,8,9.568,36.408,37.242,16.781,18.0,5.3
KS,Ellis County,Midwest,5,6.685,26.393,32.787,34.135,12.0,3.2
KS,Ellsworth County,Midwest,7,9.264,33.168,37.875,19.693,10.0,4.2
KS,Finney County,Midwest,5,27.853,23.091,30.513,18.543,14.0,3.2
KS,Ford County,Midwest,5,28.781,24.116,29.298,17.805,13.0,3.3
KS,Franklin County,Midwest,6,8.125,36.058,35.898,19.919,12.0,4.3
KS,Geary County,Midwest,4,8.706,28.864,41.992,20.438,12.0,5.8
KS,Gove County,Midwest,9,8.08,36.49,32.99,22.44,10.0,2.6
KS,Graham County,Midwest,9,6.234,35.497,32.818,25.451,12.0,5.0
KS,Grant County,Midwest,7,29.685,30.178,24.952,15.185,12.0,3.8
KS,Gray County,Midwest,9,24.204,25.929,30.679,19.188,8.0,2.3
KS,Greeley County,Midwest,9,11.697,31.193,27.523,29.587,12.0,2.3
KS,Greenwood County,Midwest,6,9.811,36.34,36.186,17.664,15.0,5.2
KS,Hamilton County,Midwest,9,18.838,36.845,28.033,16.284,14.0,2.7
KS,Harper County,Midwest,8,10.571,37.021,32.724,19.684,15.0,3.9
KS,Harvey County,Midwest,2,9.322,27.792,35.208,27.679,11.0,4.4
KS,Haskell County,Midwest,9,29.032,19.032,34.274,17.661,10.0,2.7
KS,Hodgeman County,Midwest,9,6.575,26.012,41.691,25.723,10.0,2.9
KS,Jackson County,Midwest,3,5.325,39.617,34.626,20.432,9.0,3.6
KS,Jefferson County,Midwest,3,7.687,39.719,32.024,20.57,10.0,4.1
KS,Jewell County,Midwest,9,5.578,43.15,35.966,15.306,13.0,4.7
KS,Johnson County,Midwest,1,4.247,14.859,27.314,53.581,6.0,3.3
KS,Kearny County,Midwest,9,22.513,27.265,35.965,14.257,12.0,3.3
KS,Kingman County,Midwest,2,8.265,33.627,34.634,23.474,11.0,4.7
KS,Kiowa County,Midwest,9,8.278,27.754,36.64,27.328,13.0,2.9
KS,Labette County,Midwest,7,12.541,32.575,36.885,17.999,21.0,5.7
KS,Lane County,Midwest,9,6.917,30.401,41.418,21.264,10.0,3.4
KS,Leavenworth County,Midwest,1,8.533,29.535,31.877,30.055,9.0,4.4
KS,Lincoln County,Midwest,9,5.502,32.691,42.595,19.211,12.0,3.8
KS,Linn County,Midwest,1,11.036,37.655,35.322,15.986,17.0,6.7
KS,Logan County,Midwest,9,6.897,31.766,42.999,18.339,10.0,2.8
KS,Lyon County,Midwest,4,11.071,32.977,29.281,26.671,16.0,4.2
KS,McPherson County,Midwest,7,8.969,28.897,33.807,28.327,10.0,3.3
KS,Marion County,Midwest,6,9.973,35.6,31.677,22.751,11.0,4.3
KS,Marshall County,Midwest,6,6.089,42.45,33.579,17.882,10.0,3.2
KS,Meade County,Midwest,9,14.495,30.561,32.953,21.992,11.0,2.9
KS,Miami County,Midwest,1,5.311,32.18,37.805,24.704,8.0,4.3
KS,Mitchell County,Midwest,7,4.586,30.908,38.793,25.714,12.0,3.6
KS,Montgomery County,Midwest,5,10.979,30.401,41.031,17.59,19.0,6.4
KS,Morris County,Midwest,8,12.207,36.502,34.475,16.815,12.0,4.1
KS,Morton County,Midwest,9,12.417,37.147,36.121,14.315,12.0,4.1
KS,Nemaha County,Midwest,6,8.52,42.377,27.323,21.781,9.0,2.8
KS,Neosho County,Midwest,7,8.62,31.377,41.126,18.878,16.0,7.5
KS,Ness County,Midwest,9,8.53,34.301,37.024,20.145,11.0,3.8
KS,Norton County,Midwest,7,13.449,32.88,39.876,13.795,14.0,2.6
KS,Osage County,Midwest,3,8.969,39.397,31.69,19.944,11.0,4.6
KS,Osborne County,Midwest,9,8.676,35.298,35.039,20.986,14.0,3.7
KS,Ottawa County,Midwest,9,5.861,35.505,37.152,21.482,11.0,4.0
KS,Pawnee County,Midwest,7,10.728,27.356,39.549,22.367,15.0,3.6
KS,Phillips County,Midwest,7,6.393,35.701,35.57,22.336,13.0,3.2
KS,Pottawatomie County,Midwest,3,4.646,30.058,33.301,31.995,8.0,3.5
KS,Pratt County,Midwest,7,9.403,27.023,38.116,25.458,11.0,4.3
KS,Rawlins County,Midwest,9,6.257,30.862,39.012,23.87,12.0,2.6
KS,Reno County,Midwest,4,12.473,29.862,38.476,19.189,15.0,4.6
KS,Republic County,Midwest,9,5.864,33.127,40.034,20.975,11.0,2.9
KS,Rice County,Midwest,7,11.285,29.138,37.194,22.382,13.0,4.2
KS,Riley County,Midwest,3,4.401,17.133,32.443,46.023,18.0,3.3
KS,Rooks County,Midwest,9,8.712,33.251,33.774,24.262,12.0,5.2
KS,Rush County,Midwest,9,8.618,29.926,37.722,23.733,12.0,4.2
KS,Russell County,Midwest,7,9.708,31.245,34.808,24.239,15.0,4.5
KS,Saline County,Midwest,5,10.104,33.423,32.703,23.769,12.0,3.8
KS,Scott County,Midwest,7,13.692,32.26,27.716,26.332,8.0,2.6
KS,Sedgwick County,Midwest,2,11.017,26.598,32.344,30.041,15.0,4.8
KS,Seward County,Midwest,5,34.667,25.292,28.467,11.573,14.0,4.6
KS,Shawnee County,Midwest,3,8.891,30.866,30.992,29.251,11.0,4.1
KS,Sheridan County,Midwest,9,8.558,31.701,36.868,22.874,12.0,2.6
KS,Sherman County,Midwest,7,8.567,30.542,41.868,19.022,14.0,3.5
KS,Smith County,Midwest,9,8.409,34.397,35.23,21.964,14.0,3.5
KS,Stafford County,Midwest,9,12.063,28.898,37.332,21.707,13.0,4.1
KS,Stanton County,Midwest,9,18.94,26.007,30.247,24.806,11.0,3.1
KS,Stevens County,Midwest,7,16.653,32.629,34.235,16.484,10.0,4.4
KS,Sumner County,Midwest,2,8.732,34.814,37.022,19.431,14.0,4.4
KS,Thomas County,Midwest,7,4.717,29.409,37.495,28.379,11.0,2.9
KS,Trego County,Midwest,9,5.779,32.409,35.969,25.844,11.0,4.2
KS,Wabaunsee County,Midwest,3,5.644,36.341,34.285,23.731,8.0,3.8
KS,Wallace County,Midwest,9,10.179,31.574,33.365,24.882,12.0,2.9
KS,Washington County,Midwest,9,8.783,36.042,36.75,18.426,11.0,3.5
KS,Wichita County,Midwest,9,19.115,27.337,35.278,18.271,12.0,2.5
KS,Wilson County,Midwest,7,12.995,36.314,35.413,15.278,16.0,6.4
KS,Woodson County,Midwest,9,10.21,38.31,37.752,13.728,18.0,6.2
KS,Wyandotte County,Midwest,1,21.898,32.82,29.007,16.274,19.0,5.7
KY,Adair County,South,7,24.026,36.376,23.108,16.49,26.0,6.6
KY,Allen County,South,3,23.592,35.8,26.976,13.633,19.0,4.2
KY,Anderson County,South,6,11.356,39.613,30.094,18.938,11.0,4.0
KY,Ballard County,South,9,13.805,36.767,34.166,15.262,16.0,8.6
KY,Barren County,South,6,18.262,40.515,25.694,15.529,22.0,4.6
KY,Bath County,South,8,24.325,40.049,23.524,12.101,25.0,7.2
KY,Bell County,South,7,31.872,36.535,22.046,9.548,39.0,9.0
KY,Boone County,South,1,7.614,26.988,34.337,31.061,8.0,3.8
KY,Bourbon County,South,2,15.967,37.423,28.828,17.782,18.0,4.7
KY,Boyd County,South,2,10.811,35.195,34.853,19.141,18.0,8.1
KY,Boyle County,South,7,13.844,35.408,27.743,23.004,17.0,4.9
KY,Bracken County,South,1,16.83,43.77,24.763,14.637,17.0,6.0
KY,Breathitt County,South,7,28.561,34.411,24.827,12.201,34.0,9.4
KY,Breckinridge County,South,8,20.257,43.953,25.283,10.507,17.0,6.0
KY,Bullitt County,South,1,13.272,41.055,31.486,14.187,10.0,4.1
KY,Butler County,South,3,22.435,43.224,23.947,10.395,18.0,5.3
KY,Caldwell County,South,7,11.893,46.487,26.393,15.227,20.0,5.3
KY,Calloway County,South,7,11.599,31.453,28.358,28.59,21.0,4.5
KY,Campbell County,South,1,9.938,30.793,28.681,30.589,13.0,3.8
KY,Carlisle County,South,9,18.221,33.867,32.18,15.732,15.0,5.9
KY,Carroll County,South,6,23.569,39.717,24.18,12.535,21.0,5.0
KY,Carter County,South,6,20.537,40.601,25.725,13.137,23.0,10.2
KY,Casey County,South,9,26.641,36.328,24.648,12.383,28.0,4.6
KY,Christian County,South,2,14.036,33.483,35.741,16.74,21.0,6.0
KY,Clark County,South,2,15.496,36.055,27.977,20.472,16.0,4.7
KY,Clay County,South,7,36.329,34.155,18.923,10.593,42.0,9.6
KY,Clinton County,South,9,28.774,38.112,22.128,10.985,25.0,7.3
KY,Crittenden County,South,7,19.755,38.953,28.487,12.804,19.0,5.0
KY,Cumberland County,South,9,21.939,34.496,29.356,14.208,25.0,5.5
KY,Daviess County,South,3,11.647,36.17,30.948,21.235,16.0,4.5
KY,Edmonson County,South,3,23.025,40.233,24.84,11.902,22.0,6.1
KY,Elliott County,South,9,24.153,42.259,24.792,8.796,31.0,10.9
KY,Estill County,South,6,24.269,47.89,18.606,9.235,27.0,5.7
KY,Fayette County,South,2,10.107,20.586,27.866,41.441,18.0,3.5
KY,Fleming County,South,7,23.154,38.382,25.772,12.692,21.0,5.9
KY,Floyd County,South,7,24.224,36.223,27.788,11.765,30.0,10.9
KY,Franklin County,South,4,12.384,30.67,28.637,28.309,14.0,4.0
KY,Fulton County,South,9,22.696,35.091,28.781,13.432,30.0,6.8
KY,Gallatin County,South,1,19.669,44.429,25.934,9.968,15.0,4.8
KY,Garrard County,South,6,20.033,38.123,26.379,15.465,16.0,4.7
KY,Grant County,South,1,17.529,45.811,24.309,12.351,16.0,4.9
KY,Graves County,South,7,18.31,37.227,27.658,16.805,21.0,6.0
KY,Grayson County,South,6,20.919,42.762,26.166,10.154,22.0,6.4
KY,Green County,South,8,22.991,43.456,23.206,10.346,20.0,4.4
KY,Greenup County,South,2,13.159,37.303,32.735,16.804,17.0,8.6
KY,Hancock County,South,3,11.694,45.307,31.219,11.78,13.0,5.4
KY,Hardin County,South,3,10.385,31.368,34.628,23.619,14.0,4.4
KY,Harlan County,South,7,28.632,35.166,24.117,12.085,37.0,12.1
KY,Harrison County,South,6,17.751,42.515,24.287,15.447,15.0,4.6
KY,Hart County,South,8,25.429,41.629,21.528,11.414,22.0,4.6
KY,Henderson County,South,2,13.727,35.553,33.285,17.434,17.0,4.7
KY,Henry County,South,1,17.442,44.88,26.413,11.265,19.0,4.1
KY,Hickman County,South,9,24.818,41.011,25.393,8.777,20.0,5.6
KY,Hopkins County,South,5,14.542,40.964,29.423,15.07,18.0,5.5
KY,Jackson County,South,9,23.962,44.613,20.231,11.194,32.0,7.5
KY,Jefferson County,South,1,10.711,27.086,30.361,31.842,15.0,4.4
KY,Jessamine County,South,2,15.115,29.112,27.091,28.682,16.0,3.8
KY,Johnson County,South,7,22.309,36.269,29.696,11.725,26.0,9.6
KY,Kenton County,South,1,10.687,28.984,31.236,29.094,13.0,4.1
KY,Knott County,South,9,28.287,34.922,23.88,12.911,38.0,11.2
KY,Knox County,South,7,30.012,38.068,21.021,10.898,39.0,7.9
KY,Larue County,South,3,15.941,41.726,31.59,10.742,17.0,4.5
KY,Laurel County,South,5,22.197,39.238,26.016,12.549,23.0,6.1
KY,Lawrence County,South,6,22.332,42.765,23.452,11.451,27.0,10.4
KY,Lee County,South,9,32.064,41.274,19.045,7.618,39.0,9.2
KY,Leslie County,South,9,36.315,34.617,19.378,9.689,32.0,13.0
KY,Letcher County,South,9,24.944,38.232,25.627,11.198,32.0,11.9
KY,Lewis County,South,8,25.232,41.011,22.179,11.579,27.0,9.2
KY,Lincoln County,South,7,22.475,44.301,23.362,9.863,23.0,6.0
KY,Livingston County,South,9,17.476,46.222,26.266,10.037,15.0,7.0
KY,Logan County,South,6,21.313,39.536,25.792,13.36,18.0,4.2
KY,Lyon County,South,9,12.287,40.097,30.103,17.512,16.0,5.6
KY,McCracken County,South,5,12.21,30.481,34.383,22.926,19.0,5.7
KY,McCreary County,South,9,27.786,40.291,24.22,7.702,39.0,7.7
KY,McLean County,South,3,16.251,41.213,33.308,9.228,17.0,4.8
KY,Madison County,South,4,14.26,29.284,27.343,29.114,21.0,4.1
KY,Magoffin County,South,9,30.638,36.847,22.371,10.145,32.0,18.8
KY,Marion County,South,7,19.302,42.804,24.862,13.032,20.0,4.1
KY,Marshall County,South,7,14.113,40.044,29.901,15.942,12.0,5.6
KY,Martin County,South,9,27.457,38.628,27.652,6.262,39.0,10.1
KY,Mason County,South,6,17.229,38.884,28.043,15.844,19.0,6.1
KY,Meade County,South,3,13.496,37.361,33.816,15.326,13.0,5.0
KY,Menifee County,South,9,22.961,39.773,25.011,12.255,24.0,8.4
KY,Mercer County,South,6,15.281,37.468,28.707,18.544,15.0,4.7
KY,Metcalfe County,South,9,23.968,38.202,26.39,11.439,23.0,4.5
KY,Monroe County,South,8,24.768,41.214,18.647,15.371,23.0,4.0
KY,Montgomery County,South,6,18.271,37.72,27.436,16.574,18.0,6.3
KY,Morgan County,South,9,26.601,36.872,24.581,11.946,27.0,7.8
KY,Muhlenberg County,South,6,20.504,42.755,24.606,12.135,20.0,7.0
KY,Nelson County,South,6,10.962,40.718,31.078,17.242,12.0,4.5
KY,Nicholas County,South,8,20.631,43.044,25.814,10.51,20.0,5.4
KY,Ohio County,South,6,20.817,43.817,25.474,9.892,20.0,6.5
KY,Oldham County,South,1,7.217,22.954,30.036,39.794,6.0,3.4
KY,Owen County,South,8,16.541,47.724,24.443,11.292,18.0,4.1
KY,Owsley County,South,9,29.783,37.755,15.019,17.443,45.0,9.4
KY,Pendleton County,South,1,15.283,46.41,28.015,10.292,14.0,4.8
