state,county,region,RUCC,less_than_high_school,high_school_diploma,college/associate_degree,bachelors/higher,unemployment,poverty_log
IA,Boone County,Midwest,6,5.566,34.402,37.59,22.443,2.8,2.1972245773362196
IA,Bremer County,Midwest,3,4.693,34.5,32.954,27.853,3.6,1.9459101490553132
IA,Buchanan County,Midwest,6,7.684,40.585,33.732,17.999,4.1,2.302585092994046
IA,Buena Vista County,Midwest,7,21.766,30.539,28.997,18.698,3.5,2.4849066497880004
IA,Butler County,Midwest,8,8.111,40.337,35.882,15.67,4.3,2.302585092994046
IA,Calhoun County,Midwest,9,7.756,36.368,37.502,18.375,3.8,2.4849066497880004
IA,Carroll County,Midwest,7,7.064,39.451,32.059,21.427,2.6,2.1972245773362196
IA,Cass County,Midwest,6,9.694,42.798,27.677,19.831,3.3,2.5649493574615367
IA,Cedar County,Midwest,6,6.643,36.187,35.123,22.047,3.3,1.9459101490553132
IA,Cerro Gordo County,Midwest,5,6.714,31.418,40.008,21.859,3.6,2.4849066497880004
IA,Cherokee County,Midwest,6,9.403,34.772,36.662,19.163,3.6,2.3978952727983707
IA,Chickasaw County,Midwest,6,9.718,44.136,31.666,14.481,4.4,2.3978952727983707
IA,Clarke County,Midwest,6,9.308,44.267,31.031,15.395,3.4,2.4849066497880004
IA,Clay County,Midwest,7,6.772,34.567,37.796,20.865,3.8,2.1972245773362196
IA,Clayton County,Midwest,8,9.036,44.696,30.959,15.309,4.2,2.302585092994046
IA,Clinton County,Midwest,4,8.419,36.481,35.732,19.369,4.9,2.6390573296152584
IA,Crawford County,Midwest,7,21.484,37.68,29.183,11.653,5.4,2.6390573296152584
IA,Dallas County,Midwest,2,4.464,19.442,28.675,47.419,2.6,1.6094379124341003
IA,Davis County,Midwest,9,13.322,38.178,31.941,16.558,4.2,2.5649493574615367
IA,Decatur County,Midwest,9,13.057,37.184,29.65,20.108,3.2,2.995732273553991
IA,Delaware County,Midwest,6,9.308,43.491,32.144,15.057,3.5,2.302585092994046
IA,Des Moines County,Midwest,5,7.789,35.044,37.6,19.567,4.9,2.772588722239781
IA,Dickinson County,Midwest,7,4.364,29.293,37.318,29.024,4.3,2.0794415416798357
IA,Dubuque County,Midwest,3,7.651,34.696,28.451,29.202,3.6,2.3978952727983707
IA,Emmet County,Midwest,7,10.431,34.063,38.027,17.479,4.2,2.3978952727983707
IA,Fayette County,Midwest,6,10.227,38.502,31.693,19.578,4.4,2.5649493574615367
IA,Floyd County,Midwest,7,10.993,35.293,34.06,19.654,3.6,2.5649493574615367
IA,Franklin County,Midwest,7,11.375,38.266,33.614,16.745,3.5,2.4849066497880004
IA,Fremont County,Midwest,8,7.908,35.616,35.035,21.441,3.3,2.4849066497880004
IA,Greene County,Midwest,6,7.242,37.393,37.393,17.971,3.1,2.3978952727983707
IA,Grundy County,Midwest,3,4.649,34.272,35.942,25.136,3.4,1.791759469228055
IA,Guthrie County,Midwest,2,7.935,39.147,32.374,20.544,3.6,2.302585092994046
IA,Hamilton County,Midwest,6,7.767,31.502,38.715,22.016,3.8,2.1972245773362196
IA,Hancock County,Midwest,7,7.271,36.675,36.121,19.933,2.7,2.1972245773362196
IA,Hardin County,Midwest,6,8.31,33.827,37.473,20.39,3.9,2.3978952727983707
IA,Harrison County,Midwest,2,9.024,38.179,35.357,17.439,3.4,2.3978952727983707
IA,Henry County,Midwest,6,8.034,37.406,35.718,18.842,3.5,2.4849066497880004
IA,Howard County,Midwest,6,11.083,43.476,32.221,13.219,3.6,2.302585092994046
IA,Humboldt County,Midwest,7,6.869,36.867,36.404,19.86,2.9,2.302585092994046
IA,Ida County,Midwest,8,6.669,40.259,34.036,19.035,2.6,2.302585092994046
IA,Iowa County,Midwest,6,7.922,40.812,32.633,18.633,3.1,1.9459101490553132
IA,Jackson County,Midwest,6,8.833,43.214,31.485,16.468,4.2,2.5649493574615367
IA,Jasper County,Midwest,6,7.558,40.774,33.759,17.909,3.5,2.302585092994046
IA,Jefferson County,Midwest,7,5.067,29.068,32.752,33.113,3.7,2.6390573296152584
IA,Johnson County,Midwest,3,5.258,16.482,25.828,52.432,2.6,2.833213344056216
IA,Jones County,Midwest,2,7.935,39.526,35.805,16.734,4.3,2.3978952727983707
IA,Keokuk County,Midwest,8,8.669,42.925,31.39,17.016,4.3,2.4849066497880004
IA,Kossuth County,Midwest,7,5.694,37.866,36.915,19.525,2.6,2.3978952727983707
IA,Lee County,Midwest,5,8.187,41.208,36.025,14.58,6.0,2.6390573296152584
IA,Linn County,Midwest,2,5.369,27.232,35.169,32.23,3.7,2.302585092994046
IA,Louisa County,Midwest,8,17.3,37.263,32.119,13.318,3.9,2.3978952727983707
IA,Lucas County,Midwest,6,8.19,45.052,30.248,16.511,3.2,2.70805020110221
IA,Lyon County,Midwest,8,9.371,37.273,32.087,21.269,2.0,1.9459101490553132
IA,Madison County,Midwest,2,5.64,37.367,34.537,22.456,3.5,2.0794415416798357
IA,Mahaska County,Midwest,7,8.893,37.228,29.975,23.904,3.7,2.4849066497880004
IA,Marion County,Midwest,6,7.096,35.836,31.631,25.437,3.0,2.1972245773362196
IA,Marshall County,Midwest,4,15.285,32.665,32.521,19.529,4.9,2.4849066497880004
IA,Mills County,Midwest,2,6.733,35.306,34.048,23.914,3.6,2.1972245773362196
IA,Mitchell County,Midwest,7,8.762,43.917,31.67,15.651,2.6,2.302585092994046
IA,Monona County,Midwest,6,9.51,39.76,34.114,16.616,4.1,2.5649493574615367
IA,Monroe County,Midwest,7,11.861,45.822,26.951,15.366,4.6,2.5649493574615367
IA,Montgomery County,Midwest,6,10.912,36.15,37.415,15.524,3.5,2.5649493574615367
IA,Muscatine County,Midwest,4,13.144,33.93,32.439,20.486,3.8,2.3978952727983707
IA,O'Brien County,Midwest,7,7.903,36.374,35.729,19.994,2.8,2.302585092994046
IA,Osceola County,Midwest,7,12.393,39.611,31.388,16.609,2.6,2.3978952727983707
IA,Page County,Midwest,6,11.563,33.913,32.642,21.882,5.0,2.70805020110221
IA,Palo Alto County,Midwest,7,6.409,30.2,41.317,22.074,3.1,2.302585092994046
IA,Plymouth County,Midwest,3,7.948,34.563,37.962,19.527,2.5,2.0794415416798357
IA,Pocahontas County,Midwest,9,6.85,39.235,37.012,16.904,2.8,2.4849066497880004
IA,Polk County,Midwest,2,8.281,24.998,31.153,35.569,3.5,2.3978952727983707
IA,Pottawattamie County,Midwest,2,9.991,34.735,34.616,20.658,3.4,2.302585092994046
IA,Poweshiek County,Midwest,7,6.573,39.255,31.303,22.869,3.4,2.3978952727983707
IA,Ringgold County,Midwest,9,9.22,37.305,34.128,19.348,3.5,2.6390573296152584
IA,Sac County,Midwest,9,8.322,38.572,33.764,19.342,3.0,2.4849066497880004
IA,Scott County,Midwest,2,7.016,29.38,31.689,31.916,4.5,2.5649493574615367
IA,Shelby County,Midwest,6,8.713,37.826,32.373,21.088,2.9,2.1972245773362196
IA,Sioux County,Midwest,7,10.051,30.927,32.146,26.877,2.3,1.9459101490553132
IA,Story County,Midwest,3,3.65,18.456,27.642,50.252,2.3,2.9444389791664403
IA,Tama County,Midwest,6,9.412,40.664,33.611,16.313,4.2,2.4849066497880004
IA,Taylor County,Midwest,9,9.058,41.779,35.542,13.621,2.9,2.4849066497880004
IA,Union County,Midwest,6,8.082,38.885,36.636,16.397,3.8,2.5649493574615367
IA,Van Buren County,Midwest,9,11.683,42.205,33.385,12.727,3.6,2.70805020110221
IA,Wapello County,Midwest,5,13.707,36.624,32.048,17.62,5.8,2.833213344056216
IA,Warren County,Midwest,2,4.43,32.094,34.628,28.848,3.2,1.9459101490553132
IA,Washington County,Midwest,3,9.173,37.468,32.461,20.897,2.9,2.302585092994046
IA,Wayne County,Midwest,9,10.771,45.71,30.466,13.053,3.8,2.8903717578961645
IA,Webster County,Midwest,5,9.357,32.508,37.525,20.61,4.0,2.6390573296152584
IA,Winnebago County,Midwest,7,8.966,32.854,36.625,21.555,3.5,2.3978952727983707
IA,Winneshiek County,Midwest,7,5.556,33.66,33.203,27.581,3.5,2.1972245773362196
IA,Woodbury County,Midwest,3,14.293,34.005,30.021,21.681,3.6,2.5649493574615367
IA,Worth County,Midwest,9,7.675,35.309,41.742,15.275,3.4,2.1972245773362196
IA,Wright County,Midwest,7,10.036,35.66,37.31,16.994,4.1,2.5649493574615367
KS,Allen County,Midwest,7,9.576,32.578,39.524,18.322,5.6,2.772588722239781
KS,Anderson County,Midwest,6,9.147,37.036,34.646,19.171,4.3,2.5649493574615367
KS,Atchison County,Midwest,6,7.398,41.468,31.227,19.907,6.2,2.772588722239781
KS,Barber County,Midwest,9,7.608,36.508,37.187,18.697,3.7,2.4849066497880004
KS,Barton County,Midwest,7,13.226,32.222,37.85,16.702,4.5,2.6390573296152584
KS,Bourbon County,Midwest,6,9.538,29.596,39.134,21.732,4.9,2.833213344056216
KS,Brown County,Midwest,6,7.101,39.371,33.453,20.075,3.6,2.5649493574615367
KS,Butler County,Midwest,2,7.236,26.564,37.595,28.605,4.2,2.1972245773362196
KS,Chase County,Midwest,9,9.591,29.56,36.583,24.266,3.5,2.3978952727983707
KS,Chautauqua County,Midwest,8,11.991,38.385,31.342,18.283,5.2,2.8903717578961645
KS,Cherokee County,Midwest,6,12.793,34.219,34.514,18.473,4.4,2.772588722239781
KS,Cheyenne County,Midwest,9,5.453,31.763,38.221,24.563,2.8,2.3978952727983707
KS,Clark County,Midwest,9,9.63,26.263,35.354,28.754,2.8,2.4849066497880004
KS,Clay County,Midwest,6,6.164,31.043,37.776,25.017,4.1,2.302585092994046
KS,Cloud County,Midwest,7,7.983,32.384,39.385,20.248,4.1,2.5649493574615367
KS,Coffey County,Midwest,6,7.265,37.286,34.309,21.14,6.2,2.302585092994046
KS,Comanche County,Midwest,9,6.572,34.13,39.208,20.09,3.1,2.4849066497880004
KS,Cowley County,Midwest,4,10.926,30.357,39.349,19.367,4.4,2.6390573296152584
KS,Crawford County,Midwest,4,9.914,28.758,32.975,28.354,4.8,3.091042453358316
KS,Decatur County,Midwest,9,8.076,35.718,30.042,26.165,3.9,2.70805020110221
KS,Dickinson County,Midwest,7,10.84,35.985,33.698,19.477,4.4,2.3978952727983707
KS,Doniphan County,Midwest,3,9.302,39.205,34.612,16.88,3.9,2.6390573296152584
KS,Douglas County,Midwest,3,4.953,19.361,25.986,49.7,3.5,2.772588722239781
KS,Edwards County,Midwest,9,16.835,29.065,35.875,18.225,3.0,2.3978952727983707
KS,Elk County,Midwest,8,9.568,36.408,37.242,16.781,5.0,2.8903717578961645
KS,Ellis County,Midwest,5,6.685,26.393,32.787,34.135,3.1,2.4849066497880004
KS,Ellsworth County,Midwest,7,9.264,33.168,37.875,19.693,3.8,2.302585092994046
KS,Finney County,Midwest,5,27.853,23.091,30.513,18.543,3.1,2.6390573296152584
KS,Ford County,Midwest,5,28.781,24.116,29.298,17.805,3.2,2.5649493574615367
KS,Franklin County,Midwest,6,8.125,36.058,35.898,19.919,4.2,2.4849066497880004
KS,Geary County,Midwest,4,8.706,28.864,41.992,20.438,5.6,2.4849066497880004
KS,Gove County,Midwest,9,8.08,36.49,32.99,22.44,2.4,2.302585092994046
KS,Graham County,Midwest,9,6.234,35.497,32.818,25.451,4.4,2.4849066497880004
KS,Grant County,Midwest,7,29.685,30.178,24.952,15.185,3.6,2.4849066497880004
KS,Gray County,Midwest,9,24.204,25.929,30.679,19.188,2.3,2.0794415416798357
KS,Greeley County,Midwest,9,11.697,31.193,27.523,29.587,2.1,2.4849066497880004
KS,Greenwood County,Midwest,6,9.811,36.34,36.186,17.664,4.9,2.70805020110221
KS,Hamilton County,Midwest,9,18.838,36.845,28.033,16.284,2.7,2.6390573296152584
KS,Harper County,Midwest,8,10.571,37.021,32.724,19.684,3.6,2.70805020110221
KS,Harvey County,Midwest,2,9.322,27.792,35.208,27.679,4.2,2.3978952727983707
KS,Haskell County,Midwest,9,29.032,19.032,34.274,17.661,2.6,2.302585092994046
KS,Hodgeman County,Midwest,9,6.575,26.012,41.691,25.723,2.6,2.302585092994046
KS,Jackson County,Midwest,3,5.325,39.617,34.626,20.432,3.5,2.1972245773362196
KS,Jefferson County,Midwest,3,7.687,39.719,32.024,20.57,3.9,2.302585092994046
KS,Jewell County,Midwest,9,5.578,43.15,35.966,15.306,4.3,2.5649493574615367
KS,Johnson County,Midwest,1,4.247,14.859,27.314,53.581,3.3,1.791759469228055
KS,Kearny County,Midwest,9,22.513,27.265,35.965,14.257,3.2,2.4849066497880004
KS,Kingman County,Midwest,2,8.265,33.627,34.634,23.474,4.4,2.3978952727983707
KS,Kiowa County,Midwest,9,8.278,27.754,36.64,27.328,2.7,2.5649493574615367
KS,Labette County,Midwest,7,12.541,32.575,36.885,17.999,5.4,3.044522437723423
KS,Lane County,Midwest,9,6.917,30.401,41.418,21.264,3.1,2.302585092994046
KS,Leavenworth County,Midwest,1,8.533,29.535,31.877,30.055,4.3,2.1972245773362196
KS,Lincoln County,Midwest,9,5.502,32.691,42.595,19.211,3.5,2.4849066497880004
KS,Linn County,Midwest,1,11.036,37.655,35.322,15.986,6.4,2.833213344056216
KS,Logan County,Midwest,9,6.897,31.766,42.999,18.339,2.6,2.302585092994046
KS,Lyon County,Midwest,4,11.071,32.977,29.281,26.671,4.1,2.772588722239781
KS,McPherson County,Midwest,7,8.969,28.897,33.807,28.327,3.2,2.302585092994046
KS,Marion County,Midwest,6,9.973,35.6,31.677,22.751,3.9,2.3978952727983707
KS,Marshall County,Midwest,6,6.089,42.45,33.579,17.882,3.0,2.302585092994046
KS,Meade County,Midwest,9,14.495,30.561,32.953,21.992,2.7,2.3978952727983707
KS,Miami County,Midwest,1,5.311,32.18,37.805,24.704,4.2,2.0794415416798357
KS,Mitchell County,Midwest,7,4.586,30.908,38.793,25.714,3.3,2.4849066497880004
KS,Montgomery County,Midwest,5,10.979,30.401,41.031,17.59,6.1,2.9444389791664403
KS,Morris County,Midwest,8,12.207,36.502,34.475,16.815,3.8,2.4849066497880004
KS,Morton County,Midwest,9,12.417,37.147,36.121,14.315,3.9,2.4849066497880004
KS,Nemaha County,Midwest,6,8.52,42.377,27.323,21.781,2.7,2.1972245773362196
KS,Neosho County,Midwest,7,8.62,31.377,41.126,18.878,7.2,2.772588722239781
KS,Ness County,Midwest,9,8.53,34.301,37.024,20.145,3.4,2.3978952727983707
KS,Norton County,Midwest,7,13.449,32.88,39.876,13.795,2.4,2.6390573296152584
KS,Osage County,Midwest,3,8.969,39.397,31.69,19.944,4.4,2.3978952727983707
KS,Osborne County,Midwest,9,8.676,35.298,35.039,20.986,3.4,2.6390573296152584
KS,Ottawa County,Midwest,9,5.861,35.505,37.152,21.482,3.8,2.3978952727983707
KS,Pawnee County,Midwest,7,10.728,27.356,39.549,22.367,3.3,2.70805020110221
KS,Phillips County,Midwest,7,6.393,35.701,35.57,22.336,3.2,2.5649493574615367
KS,Pottawatomie County,Midwest,3,4.646,30.058,33.301,31.995,3.5,2.0794415416798357
KS,Pratt County,Midwest,7,9.403,27.023,38.116,25.458,4.1,2.3978952727983707
KS,Rawlins County,Midwest,9,6.257,30.862,39.012,23.87,2.4,2.4849066497880004
KS,Reno County,Midwest,4,12.473,29.862,38.476,19.189,4.4,2.70805020110221
KS,Republic County,Midwest,9,5.864,33.127,40.034,20.975,2.8,2.3978952727983707
KS,Rice County,Midwest,7,11.285,29.138,37.194,22.382,4.0,2.5649493574615367
KS,Riley County,Midwest,3,4.401,17.133,32.443,46.023,3.4,2.8903717578961645
KS,Rooks County,Midwest,9,8.712,33.251,33.774,24.262,4.7,2.4849066497880004
KS,Rush County,Midwest,9,8.618,29.926,37.722,23.733,4.0,2.4849066497880004
KS,Russell County,Midwest,7,9.708,31.245,34.808,24.239,4.2,2.70805020110221
KS,Saline County,Midwest,5,10.104,33.423,32.703,23.769,3.7,2.4849066497880004
KS,Scott County,Midwest,7,13.692,32.26,27.716,26.332,2.5,2.0794415416798357
KS,Sedgwick County,Midwest,2,11.017,26.598,32.344,30.041,4.6,2.70805020110221
KS,Seward County,Midwest,5,34.667,25.292,28.467,11.573,4.3,2.6390573296152584
KS,Shawnee County,Midwest,3,8.891,30.866,30.992,29.251,4.0,2.3978952727983707
KS,Sheridan County,Midwest,9,8.558,31.701,36.868,22.874,2.4,2.4849066497880004
KS,Sherman County,Midwest,7,8.567,30.542,41.868,19.022,3.3,2.6390573296152584
KS,Smith County,Midwest,9,8.409,34.397,35.23,21.964,3.2,2.6390573296152584
KS,Stafford County,Midwest,9,12.063,28.898,37.332,21.707,3.7,2.5649493574615367
KS,Stanton County,Midwest,9,18.94,26.007,30.247,24.806,2.8,2.3978952727983707
KS,Stevens County,Midwest,7,16.653,32.629,34.235,16.484,4.0,2.302585092994046
KS,Sumner County,Midwest,2,8.732,34.814,37.022,19.431,4.2,2.6390573296152584
KS,Thomas County,Midwest,7,4.717,29.409,37.495,28.379,2.8,2.3978952727983707
KS,Trego County,Midwest,9,5.779,32.409,35.969,25.844,4.0,2.3978952727983707
KS,Wabaunsee County,Midwest,3,5.644,36.341,34.285,23.731,3.6,2.0794415416798357
KS,Wallace County,Midwest,9,10.179,31.574,33.365,24.882,2.7,2.4849066497880004
KS,Washington County,Midwest,9,8.783,36.042,36.75,18.426,3.3,2.3978952727983707
KS,Wichita County,Midwest,9,19.115,27.337,35.278,18.271,2.3,2.4849066497880004
KS,Wilson County,Midwest,7,12.995,36.314,35.413,15.278,6.0,2.772588722239781
KS,Woodson County,Midwest,9,10.21,38.31,37.752,13.728,5.8,2.8903717578961645
KS,Wyandotte County,Midwest,1,21.898,32.82,29.007,16.274,5.6,2.9444389791664403
KY,Adair County,South,7,24.026,36.376,23.108,16.49,6.9,3.258096538021482
KY,Allen County,South,3,23.592,35.8,26.976,13.633,4.4,2.9444389791664403
KY,Anderson County,South,6,11.356,39.613,30.094,18.938,4.1,2.3978952727983707
KY,Ballard County,South,9,13.805,36.767,34.166,15.262,8.9,2.772588722239781
KY,Barren County,South,6,18.262,40.515,25.694,15.529,4.7,3.091042453358316
KY,Bath County,South,8,24.325,40.049,23.524,12.101,7.4,3.2188758248682006
KY,Bell County,South,7,31.872,36.535,22.046,9.548,9.1,3.6635616461296463
KY,Boone County,South,1,7.614,26.988,34.337,31.061,3.9,2.0794415416798357
KY,Bourbon County,South,2,15.967,37.423,28.828,17.782,4.8,2.8903717578961645
KY,Boyd County,South,2,10.811,35.195,34.853,19.141,8.2,2.8903717578961645
KY,Boyle County,South,7,13.844,35.408,27.743,23.004,5.0,2.833213344056216
KY,Bracken County,South,1,16.83,43.77,24.763,14.637,6.1,2.833213344056216
KY,Breathitt County,South,7,28.561,34.411,24.827,12.201,9.5,3.5263605246161616
KY,Breckinridge County,South,8,20.257,43.953,25.283,10.507,6.2,2.833213344056216
KY,Bullitt County,South,1,13.272,41.055,31.486,14.187,4.2,2.302585092994046
KY,Butler County,South,3,22.435,43.224,23.947,10.395,5.5,2.8903717578961645
KY,Caldwell County,South,7,11.893,46.487,26.393,15.227,5.4,2.995732273553991
KY,Calloway County,South,7,11.599,31.453,28.358,28.59,4.6,3.044522437723423
KY,Campbell County,South,1,9.938,30.793,28.681,30.589,3.9,2.5649493574615367
KY,Carlisle County,South,9,18.221,33.867,32.18,15.732,6.2,2.70805020110221
KY,Carroll County,South,6,23.569,39.717,24.18,12.535,5.0,3.044522437723423
KY,Carter County,South,6,20.537,40.601,25.725,13.137,10.4,3.1354942159291497
KY,Casey County,South,9,26.641,36.328,24.648,12.383,4.7,3.332204510175204
KY,Christian County,South,2,14.036,33.483,35.741,16.74,6.2,3.044522437723423
KY,Clark County,South,2,15.496,36.055,27.977,20.472,4.9,2.772588722239781
KY,Clay County,South,7,36.329,34.155,18.923,10.593,9.8,3.7376696182833684
KY,Clinton County,South,9,28.774,38.112,22.128,10.985,7.5,3.2188758248682006
KY,Crittenden County,South,7,19.755,38.953,28.487,12.804,5.1,2.9444389791664403
KY,Cumberland County,South,9,21.939,34.496,29.356,14.208,5.6,3.2188758248682006
KY,Daviess County,South,3,11.647,36.17,30.948,21.235,4.5,2.772588722239781
KY,Edmonson County,South,3,23.025,40.233,24.84,11.902,6.3,3.091042453358316
KY,Elliott County,South,9,24.153,42.259,24.792,8.796,11.1,3.4339872044851463
KY,Estill County,South,6,24.269,47.89,18.606,9.235,5.8,3.295836866004329
KY,Fayette County,South,2,10.107,20.586,27.866,41.441,3.6,2.8903717578961645
KY,Fleming County,South,7,23.154,38.382,25.772,12.692,6.1,3.044522437723423
KY,Floyd County,South,7,24.224,36.223,27.788,11.765,11.0,3.4011973816621555
KY,Franklin County,South,4,12.384,30.67,28.637,28.309,4.1,2.6390573296152584
KY,Fulton County,South,9,22.696,35.091,28.781,13.432,6.9,3.4011973816621555
KY,Gallatin County,South,1,19.669,44.429,25.934,9.968,4.9,2.70805020110221
KY,Garrard County,South,6,20.033,38.123,26.379,15.465,4.8,2.772588722239781
KY,Grant County,South,1,17.529,45.811,24.309,12.351,5.0,2.772588722239781
KY,Graves County,South,7,18.31,37.227,27.658,16.805,6.1,3.044522437723423
KY,Grayson County,South,6,20.919,42.762,26.166,10.154,6.6,3.091042453358316
KY,Green County,South,8,22.991,43.456,23.206,10.346,4.5,2.995732273553991
KY,Greenup County,South,2,13.159,37.303,32.735,16.804,8.8,2.833213344056216
KY,Hancock County,South,3,11.694,45.307,31.219,11.78,5.5,2.5649493574615367
KY,Hardin County,South,3,10.385,31.368,34.628,23.619,4.6,2.6390573296152584
KY,Harlan County,South,7,28.632,35.166,24.117,12.085,12.3,3.6109179126442243
KY,Harrison County,South,6,17.751,42.515,24.287,15.447,4.7,2.70805020110221
KY,Hart County,South,8,25.429,41.629,21.528,11.414,4.7,3.091042453358316
KY,Henderson County,South,2,13.727,35.553,33.285,17.434,4.8,2.833213344056216
KY,Henry County,South,1,17.442,44.88,26.413,11.265,4.2,2.9444389791664403
KY,Hickman County,South,9,24.818,41.011,25.393,8.777,5.7,2.995732273553991
KY,Hopkins County,South,5,14.542,40.964,29.423,15.07,5.6,2.8903717578961645
KY,Jackson County,South,9,23.962,44.613,20.231,11.194,7.7,3.4657359027997265
KY,Jefferson County,South,1,10.711,27.086,30.361,31.842,4.5,2.70805020110221
KY,Jessamine County,South,2,15.115,29.112,27.091,28.682,4.0,2.772588722239781
KY,Johnson County,South,7,22.309,36.269,29.696,11.725,9.7,3.258096538021482
KY,Kenton County,South,1,10.687,28.984,31.236,29.094,4.2,2.5649493574615367
KY,Knott County,South,9,28.287,34.922,23.88,12.911,11.4,3.6375861597263857
KY,Knox County,South,7,30.012,38.068,21.021,10.898,8.0,3.6635616461296463
KY,Larue County,South,3,15.941,41.726,31.59,10.742,4.7,2.833213344056216
KY,Laurel County,South,5,22.197,39.238,26.016,12.549,6.2,3.1354942159291497
KY,Lawrence County,South,6,22.332,42.765,23.452,11.451,10.6,3.295836866004329
KY,Lee County,South,9,32.064,41.274,19.045,7.618,9.4,3.6635616461296463
KY,Leslie County,South,9,36.315,34.617,19.378,9.689,13.3,3.4657359027997265
KY,Letcher County,South,9,24.944,38.232,25.627,11.198,12.0,3.4657359027997265
KY,Lewis County,South,8,25.232,41.011,22.179,11.579,9.4,3.295836866004329
KY,Lincoln County,South,7,22.475,44.301,23.362,9.863,6.1,3.1354942159291497
KY,Livingston County,South,9,17.476,46.222,26.266,10.037,7.2,2.70805020110221
KY,Logan County,South,6,21.313,39.536,25.792,13.36,4.3,2.8903717578961645
KY,Lyon County,South,9,12.287,40.097,30.103,17.512,5.7,2.772588722239781
KY,McCracken County,South,5,12.21,30.481,34.383,22.926,5.8,2.9444389791664403
KY,McCreary County,South,9,27.786,40.291,24.22,7.702,7.8,3.6635616461296463
KY,McLean County,South,3,16.251,41.213,33.308,9.228,4.9,2.833213344056216
KY,Madison County,South,4,14.26,29.284,27.343,29.114,4.3,3.044522437723423
KY,Magoffin County,South,9,30.638,36.847,22.371,10.145,19.1,3.4657359027997265
KY,Marion County,South,7,19.302,42.804,24.862,13.032,4.2,2.995732273553991
KY,Marshall County,South,7,14.113,40.044,29.901,15.942,5.8,2.4849066497880004
KY,Martin County,South,9,27.457,38.628,27.652,6.262,10.2,3.6635616461296463
KY,Mason County,South,6,17.229,38.884,28.043,15.844,6.3,2.9444389791664403
KY,Meade County,South,3,13.496,37.361,33.816,15.326,5.2,2.5649493574615367
KY,Menifee County,South,9,22.961,39.773,25.011,12.255,8.7,3.1780538303479458
KY,Mercer County,South,6,15.281,37.468,28.707,18.544,4.8,2.70805020110221
KY,Metcalfe County,South,9,23.968,38.202,26.39,11.439,4.6,3.1354942159291497
KY,Monroe County,South,8,24.768,41.214,18.647,15.371,4.1,3.1354942159291497
KY,Montgomery County,South,6,18.271,37.72,27.436,16.574,6.4,2.8903717578961645
KY,Morgan County,South,9,26.601,36.872,24.581,11.946,7.9,3.295836866004329
KY,Muhlenberg County,South,6,20.504,42.755,24.606,12.135,7.2,2.995732273553991
KY,Nelson County,South,6,10.962,40.718,31.078,17.242,4.5,2.4849066497880004
KY,Nicholas County,South,8,20.631,43.044,25.814,10.51,5.5,2.995732273553991
KY,Ohio County,South,6,20.817,43.817,25.474,9.892,6.6,2.995732273553991
KY,Oldham County,South,1,7.217,22.954,30.036,39.794,3.4,1.791759469228055
KY,Owen County,South,8,16.541,47.724,24.443,11.292,4.2,2.8903717578961645
KY,Owsley County,South,9,29.783,37.755,15.019,17.443,9.4,3.8066624897703196
KY,Pendleton County,South,1,15.283,46.41,28.015,10.292,4.9,2.6390573296152584
KY,Perry County,South,7,25.119,33.745,27.18,13.956,10.6,3.4339872044851463
KY,Pike County,South,7,24.952,37.945,24.234,12.87,10.9,3.4339872044851463
KY,Powell County,South,6,22.813,41.769,21.28,14.139,7.1,3.295836866004329
KY,Pulaski County,South,5,19.124,39.318,26.814,14.744,5.4,2.9444389791664403
KY,Robertson County,South,8,25.079,34.594,23.377,16.95,6.1,3.2188758248682006
KY,Rockcastle County,South,7,23.301,45.468,21.508,9.723,6.2,3.1780538303479458
KY,Rowan County,South,7,18.962,29.805,24.585,26.648,5.8,3.2188758248682006
KY,Russell County,South,9,26.304,35.101,25.877,12.717,8.4,3.2188758248682006
KY,Scott County,South,2,10.046,31.742,29.791,28.421,3.9,2.302585092994046
KY,Shelby County,South,1,14.195,32.053,29.903,23.849,3.6,2.4849066497880004
KY,Simpson County,South,6,15.96,43.248,26.606,14.186,4.5,2.70805020110221
KY,Spencer County,South,1,10.495,35.05,35.789,18.666,3.9,2.1972245773362196
KY,Taylor County,South,7,15.939,40.309,26.451,17.301,5.3,3.044522437723423
KY,Todd County,South,8,23.125,41.265,23.868,11.742,4.3,2.995732273553991
KY,Trigg County,South,2,15.786,30.829,35.378,18.007,5.7,2.70805020110221
KY,Trimble County,South,1,16.786,46.136,25.461,11.617,5.5,2.70805020110221
KY,Union County,South,6,15.105,39.877,32.864,12.154,6.7,2.9444389791664403
KY,Warren County,South,3,12.301,29.955,28.687,29.056,4.0,2.9444389791664403
KY,Washington County,South,9,17.814,42.465,24.9,14.82,4.2,2.772588722239781
KY,Wayne County,South,7,29.228,39.154,22.319,9.299,7.4,3.295836866004329
KY,Webster County,South,8,21.507,43.179,26.368,8.946,6.0,2.8903717578961645
KY,Whitley County,South,7,22.642,36.164,23.345,17.85,6.6,3.367295829986474
KY,Wolfe County,South,9,30.53,39.259,18.394,11.817,9.9,3.4657359027997265
KY,Woodford County,South,2,11.926,27.971,28.232,31.871,3.3,2.4849066497880004
LA,Acadia Parish,South,2,24.53,40.363,23.986,11.121,7.4,3.1354942159291497
LA,Allen Parish,South,6,20.818,42.946,24.36,11.876,6.4,3.044522437723423
LA,Ascension Parish,South,2,11.751,34.845,26.799,26.605,4.9,2.3978952727983707
